=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::pow         1.06%       3.887ms         1.53%       5.624ms      18.502us     546.472us         0.20%     546.472us       1.798us           304  
                                                aten::t         0.72%       2.657ms         1.52%       5.584ms       4.308us       0.000us         0.00%       0.000us       0.000us          1296  
                                             aten::mean         1.05%       3.878ms         1.45%       5.354ms      17.611us       1.173ms         0.43%       1.173ms       3.859us           304  
                                             aten::view         1.36%       5.026ms         1.36%       5.026ms       1.904us       0.000us         0.00%       0.000us       0.000us          2640  
                                  cudaDeviceSynchronize         1.23%       4.527ms         1.23%       4.527ms     137.170us       0.000us         0.00%       0.000us       0.000us            33  
                          cudaGraphInstantiateWithFlags         1.19%       4.380ms         1.19%       4.380ms     136.885us       0.000us         0.00%       0.000us       0.000us            32  
                                       aten::as_strided         1.05%       3.858ms         1.05%       3.858ms       0.638us       0.000us         0.00%       0.000us       0.000us          6048  
                                            aten::rsqrt         0.61%       2.248ms         0.96%       3.528ms      11.607us     503.485us         0.18%     503.485us       1.656us           304  
                                            aten::fill_         0.43%       1.592ms         0.92%       3.375ms      35.161us     187.193us         0.07%     187.193us       1.950us            96  
                                        aten::transpose         0.50%       1.853ms         0.81%       2.977ms       2.269us       0.000us         0.00%       0.000us       0.000us          1312  
                                             aten::item         0.03%      92.829us         0.80%       2.963ms      92.594us       0.000us         0.00%      73.794us       2.306us            32  
                              aten::_local_scalar_dense         0.12%     454.358us         0.78%       2.870ms      89.693us      73.794us         0.03%      73.794us       2.306us            32  
                                             aten::silu         0.41%       1.524ms         0.61%       2.231ms      17.429us     353.885us         0.13%     353.885us       2.765us           128  
                                        aten::expand_as         0.14%     504.427us         0.57%       2.093ms       4.087us       0.000us         0.00%       0.000us       0.000us           512  
                                           aten::expand         0.40%       1.460ms         0.46%       1.712ms       3.056us       0.000us         0.00%       0.000us       0.000us           560  
                                 aten::split_with_sizes         0.36%       1.312ms         0.45%       1.640ms       6.407us       0.000us         0.00%       0.000us       0.000us           256  
                                            aten::empty         0.42%       1.541ms         0.43%       1.575ms       3.767us       0.000us         0.00%       0.000us       0.000us           418  
                                       aten::empty_like         0.09%     338.550us         0.38%       1.398ms       8.736us       0.000us         0.00%       0.000us       0.000us           160  
                                           aten::select         0.32%       1.163ms         0.36%       1.318ms       4.845us       0.000us         0.00%       0.000us       0.000us           272  
                                     aten::_unsafe_view         0.29%       1.059ms         0.29%       1.059ms       1.141us       0.000us         0.00%       0.000us       0.000us           928  
                                        aten::unsqueeze         0.20%     730.972us         0.26%     974.078us       2.174us       0.000us         0.00%       0.000us       0.000us           448  
                                            aten::zero_         0.04%     133.699us         0.18%     667.283us      20.853us       0.000us         0.00%      62.910us       1.966us            32  
                            cudaStreamGetCaptureInfo_v2         0.18%     659.937us         0.18%     659.937us       0.573us       0.000us         0.00%       0.000us       0.000us          1152  
                                        aten::embedding         0.02%      87.444us         0.17%     635.552us      39.722us       0.000us         0.00%      64.355us       4.022us            16  
                                Activity Buffer Request         0.17%     628.752us         0.17%     628.752us     314.376us       1.024us         0.00%       1.024us       0.512us             2  
                                              aten::bmm         0.10%     371.626us         0.14%     499.373us      31.211us      36.286us         0.01%      36.286us       2.268us            16  
                                     aten::index_select         0.05%     185.911us         0.13%     497.018us      31.064us      64.355us         0.02%      64.355us       4.022us            16  
                                  cudaStreamIsCapturing         0.13%     479.307us         0.13%     479.307us       0.788us       0.000us         0.00%       0.000us       0.000us           608  
                                       cudaGraphDestroy         0.12%     449.418us         0.12%     449.418us      14.044us       0.000us         0.00%       0.000us       0.000us            32  
                                           aten::argmax         0.06%     225.535us         0.10%     367.799us      22.987us     263.996us         0.10%     263.996us      16.500us            16  
                                              aten::cat         0.06%     217.957us         0.09%     330.974us      20.686us      47.583us         0.02%      47.583us       2.974us            16  
                                   cudaFuncSetAttribute         0.07%     273.192us         0.07%     273.192us       2.134us       0.000us         0.00%       0.000us       0.000us           128  
                                              aten::cos         0.04%     145.248us         0.06%     226.037us      14.127us      49.087us         0.02%      49.087us       3.068us            16  
                                 cudaDeviceGetAttribute         0.06%     206.879us         0.06%     206.879us       0.539us       0.000us         0.00%       0.000us       0.000us           384  
                                      aten::result_type         0.05%     190.649us         0.05%     190.649us       0.627us       0.000us         0.00%       0.000us       0.000us           304  
                                              aten::sin         0.03%     107.274us         0.05%     186.233us      11.640us      46.367us         0.02%      46.367us       2.898us            16  
                                   cudaStreamEndCapture         0.04%     150.348us         0.04%     150.348us       4.698us       0.000us         0.00%       0.000us       0.000us            32  
                                        cudaEventRecord         0.04%     147.729us         0.04%     147.729us       2.308us       0.000us         0.00%       0.000us       0.000us            64  
                                 cudaStreamBeginCapture         0.04%     146.523us         0.04%     146.523us       4.579us       0.000us         0.00%       0.000us       0.000us            32  
                                    cudaStreamWaitEvent         0.04%     129.753us         0.04%     129.753us       2.027us       0.000us         0.00%       0.000us       0.000us            64  
                                           Buffer Flush         0.02%      87.031us         0.02%      87.091us      87.091us       0.000us         0.00%       0.000us       0.000us             1  
                    cudaThreadExchangeStreamCaptureMode         0.02%      77.609us         0.02%      77.609us       1.213us       0.000us         0.00%       0.000us       0.000us            64  
                                          aten::resize_         0.02%      74.337us         0.02%      74.337us       4.646us       0.000us         0.00%       0.000us       0.000us            16  
                                      cudaGraphGetNodes         0.02%      65.331us         0.02%      65.331us       2.042us       0.000us         0.00%       0.000us       0.000us            32  
                                   cudaDriverGetVersion         0.01%      49.036us         0.01%      49.036us       0.090us       0.000us         0.00%       0.000us       0.000us           544  
                                          aten::detach_         0.01%      18.587us         0.01%      31.110us       1.944us       0.000us         0.00%       0.000us       0.000us            16  
                                                detach_         0.00%      12.523us         0.00%      12.523us       0.783us       0.000us         0.00%       0.000us       0.000us            16  
                                       aten::lift_fresh         0.00%       3.424us         0.00%       3.424us       0.214us       0.000us         0.00%       0.000us       0.000us            16  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      19.328us         0.01%      19.328us       1.208us            16  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      64.355us         0.02%      64.355us       4.022us            16  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.965ms         2.19%       5.965ms       4.603us          1296  
void gemmk1_kernel<int, float, 256, 5, true, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us      36.286us         0.01%      36.286us       2.268us            16  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      47.583us         0.02%      47.583us       2.974us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      49.087us         0.02%      49.087us       3.068us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      53.313us         0.02%      53.313us       1.666us            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      46.367us         0.02%      46.367us       2.898us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.412ms         0.88%       2.412ms       1.861us          1296  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.404ms         0.51%       1.404ms       2.742us           512  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.786ms         1.39%       3.786ms       2.191us          1728  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      73.794us         0.03%      73.794us       2.306us            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.325ms         0.85%       2.325ms       1.839us          1264  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.872ms         1.79%       4.872ms       3.854us          1264  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 368.386ms
Self CUDA time total: 272.838ms

