=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::matmul         1.20%       4.770ms        10.64%      42.173ms      29.287us       0.000us         0.00%      43.488ms      30.200us          1440  
                                             cudaMalloc        10.44%      41.350ms        10.44%      41.350ms     656.352us       0.000us         0.00%       0.000us       0.000us            63  
                                               aten::mm         6.36%      25.213ms         8.63%      34.184ms      24.006us      43.449ms        13.33%      43.449ms      30.512us          1424  
                                               cudaFree         8.21%      32.527ms         8.21%      32.527ms     342.390us       0.000us         0.00%       0.000us       0.000us            95  
                                       cudaLaunchKernel         8.14%      32.264ms         8.14%      32.264ms       5.931us       0.000us         0.00%       0.000us       0.000us          5440  
                                        cudaGraphLaunch         6.68%      26.465ms         6.77%      26.840ms      52.422us       0.000us         0.00%       0.000us       0.000us           512  
                                        cudaMemcpyAsync         4.57%      18.103ms         4.57%      18.103ms      10.193us       0.000us         0.00%       0.000us       0.000us          1776  
                                            aten::clone         0.44%       1.756ms         3.45%      13.658ms      22.463us       0.000us         0.00%       1.607ms       2.643us           608  
                                              aten::mul         1.62%       6.408ms         2.43%       9.609ms      12.512us       1.735ms         0.53%       1.735ms       2.260us           768  
                                  cudaDeviceSynchronize         2.20%       8.722ms         2.20%       8.722ms     264.292us       0.000us         0.00%       0.000us       0.000us            33  
                                              aten::add         1.43%       5.667ms         2.10%       8.331ms      14.877us       1.007ms         0.31%       1.007ms       1.798us           560  
                                            aten::slice         1.51%       5.974ms         1.95%       7.722ms       2.742us       0.000us         0.00%       0.000us       0.000us          2816  
                                          aten::reshape         0.45%       1.793ms         1.51%       5.968ms       2.664us       0.000us         0.00%       0.000us       0.000us          2240  
                                              aten::pow         0.95%       3.761ms         1.38%       5.459ms      17.957us     551.234us         0.17%     551.234us       1.813us           304  
                                             aten::item         0.02%      91.211us         1.35%       5.367ms     167.711us       0.000us         0.00%      71.458us       2.233us            32  
                                             aten::mean         0.97%       3.857ms         1.34%       5.307ms      17.458us       1.191ms         0.37%       1.191ms       3.919us           304  
                                                aten::t         0.64%       2.525ms         1.33%       5.283ms       4.077us       0.000us         0.00%       0.000us       0.000us          1296  
                              aten::_local_scalar_dense         0.10%     389.536us         1.33%       5.276ms     164.861us      71.458us         0.02%      71.458us       2.233us            32  
                                             aten::view         1.24%       4.931ms         1.24%       4.931ms       1.868us       0.000us         0.00%       0.000us       0.000us          2640  
                          cudaGraphInstantiateWithFlags         1.00%       3.947ms         1.00%       3.947ms     123.359us       0.000us         0.00%       0.000us       0.000us            32  
                                       aten::as_strided         0.97%       3.829ms         0.97%       3.829ms       0.633us       0.000us         0.00%       0.000us       0.000us          6048  
