=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         2.58%      11.629ms        53.71%     241.816ms      33.660us       0.000us         0.00%     224.025ms      31.184us          7184  
                                           aten::matmul         6.13%      27.585ms        45.41%     204.422ms      28.392us       0.000us         0.00%     224.056ms      31.119us          7200  
                                               aten::mm        24.12%     108.601ms        35.00%     157.554ms      21.931us     224.000ms        83.60%     224.025ms      31.184us          7184  
                                       cudaLaunchKernel        24.65%     110.961ms        24.65%     110.961ms       5.750us       0.000us         0.00%       0.000us       0.000us         19296  
                                               aten::to         0.66%       2.957ms        13.15%      59.207ms      15.746us       0.000us         0.00%       8.300ms       2.207us          3760  
                                         aten::_to_copy         1.99%       8.936ms        12.49%      56.250ms      21.051us       0.000us         0.00%       8.300ms       3.106us          2672  
                                            aten::copy_         4.17%      18.757ms         9.54%      42.961ms      13.493us       9.311ms         3.48%       9.311ms       2.924us          3184  
                                              aten::mul         4.34%      19.544ms         6.88%      30.994ms      11.812us       6.718ms         2.51%       6.718ms       2.560us          2624  
                                              aten::add         4.21%      18.950ms         6.58%      29.625ms      14.353us       4.326ms         1.61%       4.326ms       2.096us          2064  
                                                aten::t         2.78%      12.506ms         5.89%      26.514ms       3.691us       0.000us         0.00%       0.000us       0.000us          7184  
                                              aten::pow         2.32%      10.431ms         3.61%      16.231ms      15.606us       2.095ms         0.78%       2.095ms       2.014us          1040  
                                             aten::mean         2.45%      11.049ms         3.57%      16.078ms      15.460us       4.349ms         1.62%       4.349ms       4.182us          1040  
                                    aten::empty_strided         3.40%      15.309ms         3.40%      15.309ms       4.808us       0.000us         0.00%       0.000us       0.000us          3184  
                                          aten::reshape         1.22%       5.508ms         3.24%      14.605ms       1.769us       0.000us         0.00%       0.000us       0.000us          8256  
                                        aten::transpose         1.91%       8.580ms         3.12%      14.057ms       1.952us       0.000us         0.00%       0.000us       0.000us          7200  
                                             aten::view         2.42%      10.890ms         2.42%      10.890ms       1.110us       0.000us         0.00%       0.000us       0.000us          9808  
                                            aten::rsqrt         1.43%       6.435ms         2.40%      10.794ms      10.379us       1.937ms         0.72%       1.937ms       1.862us          1040  
                                             aten::silu         1.13%       5.067ms         1.78%       7.994ms      15.613us       1.766ms         0.66%       1.766ms       3.450us           512  
                                     aten::_unsafe_view         1.65%       7.443ms         1.65%       7.443ms       1.034us       0.000us         0.00%       0.000us       0.000us          7200  
                                       aten::as_strided         1.44%       6.467ms         1.44%       6.467ms       0.719us       0.000us         0.00%       0.000us       0.000us          8992  
                                        cudaMemcpyAsync         1.38%       6.230ms         1.38%       6.230ms      11.800us       0.000us         0.00%       0.000us       0.000us           528  
                                            aten::empty         1.08%       4.863ms         1.08%       4.863ms       3.101us       0.000us         0.00%       0.000us       0.000us          1568  
                                       aten::empty_like         0.21%     943.355us         0.90%       4.072ms       7.953us       0.000us         0.00%       0.000us       0.000us           512  
                                            aten::slice         0.57%       2.585ms         0.72%       3.259ms       2.829us       0.000us         0.00%       0.000us       0.000us          1152  
                                        aten::expand_as         0.11%     479.031us         0.46%       2.071ms       4.046us       0.000us         0.00%       0.000us       0.000us           512  
                                           aten::expand         0.32%       1.437ms         0.38%       1.715ms       3.062us       0.000us         0.00%       0.000us       0.000us           560  
                                Activity Buffer Request         0.37%       1.671ms         0.37%       1.671ms     835.630us      24.896us         0.01%      24.896us      12.448us             2  
                                  cudaStreamSynchronize         0.22%     984.850us         0.22%     984.850us      61.553us       0.000us         0.00%       0.000us       0.000us            16  
                                   cudaFuncSetAttribute         0.17%     765.523us         0.17%     765.523us       1.495us       0.000us         0.00%       0.000us       0.000us           512  
                                        aten::embedding         0.02%      82.346us         0.13%     577.066us      36.067us       0.000us         0.00%      54.216us       3.389us            16  
                                 cudaDeviceGetAttribute         0.12%     543.340us         0.12%     543.340us       0.354us       0.000us         0.00%       0.000us       0.000us          1536  
                                              aten::bmm         0.08%     360.436us         0.11%     485.245us      30.328us      30.885us         0.01%      30.885us       1.930us            16  
                                     aten::index_select         0.04%     171.578us         0.10%     445.402us      27.838us      54.216us         0.02%      54.216us       3.389us            16  
                                      aten::result_type         0.09%     406.726us         0.09%     406.726us       0.391us       0.000us         0.00%       0.000us       0.000us          1040  
                                           aten::argmax         0.05%     220.028us         0.08%     360.830us      22.552us     238.912us         0.09%     238.912us      14.932us            16  
                                              aten::cat         0.05%     213.406us         0.07%     321.154us      20.072us      40.646us         0.02%      40.646us       2.540us            16  
                                              aten::cos         0.03%     140.730us         0.05%     217.802us      13.613us      41.412us         0.02%      41.412us       2.588us            16  
                                              aten::sin         0.02%     101.056us         0.04%     174.322us      10.895us      39.619us         0.01%      39.619us       2.476us            16  
                                        aten::unsqueeze         0.03%     120.429us         0.03%     150.757us       2.356us       0.000us         0.00%       0.000us       0.000us            64  
                                  cudaDeviceSynchronize         0.01%      67.194us         0.01%      67.194us      67.194us       0.000us         0.00%       0.000us       0.000us             1  
                                           Buffer Flush         0.01%      58.869us         0.01%      66.192us      66.192us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::select         0.01%      56.247us         0.01%      63.250us       3.953us       0.000us         0.00%       0.000us       0.000us            16  
                                          aten::resize_         0.01%      54.191us         0.01%      54.191us       3.387us       0.000us         0.00%       0.000us       0.000us            16  
                                          aten::detach_         0.00%      16.934us         0.01%      28.484us       1.780us       0.000us         0.00%       0.000us       0.000us            16  
                                                detach_         0.00%      11.550us         0.00%      11.550us       0.722us       0.000us         0.00%       0.000us       0.000us            16  
                                       aten::lift_fresh         0.00%       3.236us         0.00%       3.236us       0.202us       0.000us         0.00%       0.000us       0.000us            16  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.349ms         1.62%       4.349ms       4.194us          1037  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.882ms         0.70%       1.882ms       1.815us          1037  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.937ms         0.72%       1.937ms       1.868us          1037  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.040ms         1.13%       3.040ms       2.932us          1037  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.158ms         0.81%       2.158ms       2.022us          1067  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.632ms         1.36%       3.632ms       2.346us          1548  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     193.585ms        72.25%     193.585ms      29.176us          6635  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.766ms         0.66%       1.766ms       3.457us           511  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      27.862ms        10.40%      27.862ms      54.524us           511  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.443ms         0.91%       2.443ms       2.393us          1021  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.836ms         1.80%       4.836ms       4.537us          1066  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.095ms         0.78%       2.095ms       2.022us          1036  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.290ms         0.48%       1.290ms       2.530us           510  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.011ms         0.38%       1.011ms       1.983us           510  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      10.175ms         3.80%      10.175ms      19.950us           510  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       2.818ms         1.05%       2.818ms       5.525us           510  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       2.447ms         0.91%       2.447ms     152.921us            16  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     106.863us         0.04%     106.863us       6.679us            16  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     238.912us         0.09%     238.912us      14.932us            16  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      15.747us         0.01%      15.747us       1.050us            15  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      54.216us         0.02%      54.216us       3.614us            15  
void gemmk1_kernel<int, float, 256, 5, true, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us      30.885us         0.01%      30.885us       2.059us            15  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      40.646us         0.02%      40.646us       2.710us            15  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      41.412us         0.02%      41.412us       2.761us            15  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.507us         0.02%      45.507us       1.517us            30  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      39.619us         0.01%      39.619us       2.641us            15  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 450.193ms
Self CUDA time total: 267.940ms

