=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::as_strided         0.89%       4.520ms         0.89%       4.520ms       0.736us       0.000us         0.00%       0.000us       0.000us          6144  
                                        aten::transpose         0.45%       2.254ms         0.73%       3.688ms       2.811us       0.000us         0.00%       0.000us       0.000us          1312  
                                             aten::silu         0.39%       1.958ms         0.57%       2.876ms      22.466us     506.206us         0.16%     506.206us       3.955us           128  
                                        aten::expand_as         0.11%     554.724us         0.48%       2.407ms       4.701us       0.000us         0.00%       0.000us       0.000us           512  
                                 aten::split_with_sizes         0.38%       1.914ms         0.47%       2.349ms       9.177us       0.000us         0.00%       0.000us       0.000us           256  
                                           aten::select         0.38%       1.918ms         0.42%       2.120ms       5.762us       0.000us         0.00%       0.000us       0.000us           368  
                                       aten::empty_like         0.11%     561.036us         0.40%       2.014ms      10.489us       0.000us         0.00%       0.000us       0.000us           192  
                                           aten::expand         0.34%       1.716ms         0.39%       1.977ms       3.531us       0.000us         0.00%       0.000us       0.000us           560  
                                            aten::empty         0.36%       1.805ms         0.36%       1.839ms       4.421us       0.000us         0.00%       0.000us       0.000us           416  
                                            aten::zero_         0.07%     332.334us         0.35%       1.761ms      27.514us       0.000us         0.00%     136.070us       2.126us            64  
                                             aten::item         0.03%     141.030us         0.34%       1.698ms      53.063us       0.000us         0.00%      73.472us       2.296us            32  
                              aten::_local_scalar_dense         0.10%     507.200us         0.31%       1.557ms      48.656us      73.472us         0.02%      73.472us       2.296us            32  
                                  cudaStreamSynchronize         0.29%       1.484ms         0.29%       1.484ms      30.912us       0.000us         0.00%       0.000us       0.000us            48  
