=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         2.53%      15.475ms         5.83%      35.672ms      13.350us       8.129ms         2.79%       8.129ms       3.042us          2672  
                                            aten::where         1.19%       7.290ms         4.90%      29.987ms      29.285us       1.924ms         0.66%       4.566ms       4.459us          1024  
                                                aten::t         2.07%      12.635ms         4.24%      25.931ms       3.610us       0.000us         0.00%       0.000us       0.000us          7184  
                                        aten::transpose         2.26%      13.850ms         3.43%      20.949ms       1.855us       0.000us         0.00%       0.000us       0.000us         11296  
          aten::_scaled_dot_product_efficient_attention         0.53%       3.244ms         3.20%      19.577ms      38.236us       0.000us         0.00%      19.546ms      38.175us           512  
                                              aten::pad         0.12%     720.793us         3.16%      19.345ms      37.784us       0.000us         0.00%       1.920ms       3.750us           512  
                                  aten::constant_pad_nd         0.44%       2.669ms         3.05%      18.624ms      36.376us       0.000us         0.00%       1.920ms       3.750us           512  
                                              aten::cat         2.04%      12.500ms         2.94%      17.953ms      17.263us       5.154ms         1.77%       5.154ms       4.956us          1040  
                                    aten::scalar_tensor         0.40%       2.418ms         2.91%      17.782ms      17.366us       0.000us         0.00%       1.434ms       1.400us          1024  
                                             aten::mean         1.87%      11.425ms         2.73%      16.721ms      16.078us       4.398ms         1.51%       4.398ms       4.229us          1040  
                                              aten::pow         1.76%      10.776ms         2.73%      16.716ms      16.073us       2.163ms         0.74%       2.163ms       2.079us          1040  
                                            aten::fill_         1.05%       6.447ms         2.49%      15.228ms       9.914us       2.185ms         0.75%       2.187ms       1.424us          1536  
                                              aten::neg         1.44%       8.832ms         2.46%      15.037ms      14.685us       3.716ms         1.27%       3.716ms       3.629us          1024  
                                      aten::index_copy_         1.39%       8.505ms         2.45%      14.972ms      14.621us       3.986ms         1.37%       3.986ms       3.893us          1024  
                                            aten::slice         1.80%      11.027ms         2.34%      14.304ms       3.020us       0.000us         0.00%       0.000us       0.000us          4736  
                     aten::_efficient_attention_forward         0.77%       4.719ms         2.24%      13.710ms      26.778us      19.546ms         6.71%      19.546ms      38.175us           512  
                                          aten::reshape         0.87%       5.316ms         2.17%      13.262ms       1.713us       0.000us         0.00%       0.000us       0.000us          7744  
                                       aten::as_strided         2.03%      12.440ms         2.03%      12.440ms       0.629us       0.000us         0.00%       0.000us       0.000us         19776  
                                            aten::empty         1.96%      11.978ms         1.96%      11.978ms       2.868us       0.000us         0.00%       0.000us       0.000us          4176  
                                            aten::rsqrt         1.11%       6.764ms         1.86%      11.378ms      10.940us       1.872ms         0.64%       1.872ms       1.800us          1040  
                                             aten::view         1.66%      10.132ms         1.66%      10.132ms       1.088us       0.000us         0.00%       0.000us       0.000us          9312  
                                    aten::empty_strided         1.64%      10.011ms         1.64%      10.011ms       4.635us       0.000us         0.00%       0.000us       0.000us          2160  
                                             aten::silu         0.86%       5.288ms         1.36%       8.327ms      16.264us       1.795ms         0.62%       1.795ms       3.506us           512  
                                     aten::_unsafe_view         1.26%       7.730ms         1.26%       7.730ms       1.074us       0.000us         0.00%       0.000us       0.000us          7200  
                                        cudaMemcpyAsync         0.96%       5.896ms         0.96%       5.896ms      11.167us       0.000us         0.00%       0.000us       0.000us           528  
                                           aten::narrow         0.19%       1.139ms         0.40%       2.418ms       4.723us       0.000us         0.00%       0.000us       0.000us           512  
                                           aten::expand         0.29%       1.768ms         0.36%       2.174ms       3.672us       0.000us         0.00%       0.000us       0.000us           592  
                                        aten::unsqueeze         0.27%       1.643ms         0.33%       2.009ms       1.846us       0.000us         0.00%       0.000us       0.000us          1088  
                                          aten::resize_         0.31%       1.924ms         0.31%       1.924ms       3.341us       0.000us         0.00%       0.000us       0.000us           576  
                                           aten::arange         0.05%     283.699us         0.23%       1.395ms      14.529us      67.126us         0.02%     134.252us       1.398us            96  
                                               aten::le         0.09%     529.789us         0.23%       1.393ms      43.538us      46.959us         0.02%      93.918us       2.935us            32  
                                  cudaStreamSynchronize         0.14%     885.757us         0.14%     885.757us      55.360us       0.000us         0.00%       0.000us       0.000us            16  
                                Activity Buffer Request         0.14%     842.968us         0.14%     842.968us     280.989us      25.390us         0.01%      25.390us       8.463us             3  
                                        aten::embedding         0.01%      91.728us         0.10%     608.396us      38.025us       0.000us         0.00%      55.697us       3.481us            16  
                                   cudaFuncSetAttribute         0.10%     603.435us         0.10%     603.435us       1.179us       0.000us         0.00%       0.000us       0.000us           512  
                                              aten::bmm         0.06%     393.797us         0.09%     523.245us      32.703us      29.834us         0.01%      29.834us       1.865us            16  
                                     aten::index_select         0.03%     184.242us         0.08%     466.494us      29.156us      55.697us         0.02%      55.697us       3.481us            16  
                                  cudaStreamIsCapturing         0.07%     437.634us         0.07%     437.634us       0.855us       0.000us         0.00%       0.000us       0.000us           512  
                                      aten::result_type         0.07%     405.980us         0.07%     405.980us       0.390us       0.000us         0.00%       0.000us       0.000us          1040  
                                           aten::argmax         0.04%     235.717us         0.06%     382.766us      23.923us     239.633us         0.08%     239.633us      14.977us            16  
                                             aten::add_         0.02%     152.137us         0.04%     237.827us      14.864us      32.043us         0.01%      32.043us       2.003us            16  
                                              aten::cos         0.02%     151.287us         0.04%     235.084us      14.693us      41.678us         0.01%      41.678us       2.605us            16  
                                              aten::sin         0.02%     114.491us         0.03%     195.129us      12.196us      39.980us         0.01%      39.980us       2.499us            16  
                                           Buffer Flush         0.02%     111.325us         0.02%     116.555us      58.278us      27.725us         0.01%      27.725us      13.862us             2  
                                           aten::select         0.01%      61.997us         0.01%      70.100us       4.381us       0.000us         0.00%       0.000us       0.000us            16  
                                  cudaDeviceSynchronize         0.01%      67.916us         0.01%      67.916us      67.916us       0.000us         0.00%       0.000us       0.000us             1  
                                          aten::detach_         0.00%      19.285us         0.01%      32.188us       2.012us       0.000us         0.00%       0.000us       0.000us            16  
                                                detach_         0.00%      12.903us         0.00%      12.903us       0.806us       0.000us         0.00%       0.000us       0.000us            16  
                                       aten::lift_fresh         0.00%       3.494us         0.00%       3.494us       0.218us       0.000us         0.00%       0.000us       0.000us            16  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.924ms         0.66%       1.924ms       3.758us           512  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.185ms         0.75%       2.185ms       1.425us          1534  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.167ms         0.40%       1.167ms       2.279us           512  
fmha_cutlassF_bf16_aligned_64x128_rf_sm80(PyTorchMem...         0.00%       0.000us         0.00%       0.000us       0.000us      19.546ms         6.71%      19.546ms      38.175us           512  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     103.982ms        35.67%     103.982ms      29.037us          3581  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     108.421ms        37.20%     108.421ms      30.277us          3581  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.486ms         1.54%       4.486ms       2.193us          2046  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.757ms         1.63%       4.757ms       4.450us          1069  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.163ms         0.74%       2.163ms       2.081us          1039  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.398ms         1.51%       4.398ms       4.233us          1039  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.757ms         0.60%       1.757ms       1.691us          1039  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.872ms         0.64%       1.872ms       1.802us          1039  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.043ms         1.04%       3.043ms       2.929us          1039  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.190ms         0.75%       2.190ms       2.049us          1069  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.623ms         1.24%       3.623ms       2.336us          1551  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.795ms         0.62%       1.795ms       3.506us           512  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       8.147ms         2.79%       8.147ms       3.986us          2044  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.716ms         1.27%       3.716ms       3.636us          1022  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       5.114ms         1.75%       5.114ms       5.003us          1022  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.986ms         1.37%       3.986ms       3.900us          1022  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       2.445ms         0.84%       2.445ms     152.817us            16  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     106.566us         0.04%     106.566us       6.660us            16  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 611.630ms
Self CUDA time total: 291.477ms

