=== Prefill Profile ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         2.09%       9.345ms        41.15%     184.027ms      35.831us       0.000us         0.00%     126.091ms      24.550us          5136  
                                           aten::matmul         4.16%      18.595ms        39.59%     177.049ms      31.259us       0.000us         0.00%     144.857ms      25.575us          5664  
                                               aten::mm        22.40%     100.179ms        32.95%     147.357ms      26.090us     144.805ms        73.98%     144.820ms      25.641us          5648  
                                       cudaLaunchKernel        22.28%      99.625ms        22.57%     100.931ms       5.852us       0.000us         0.00%      15.616us       0.001us         17248  
                                               aten::to         0.68%       3.022ms        13.80%      61.725ms      16.416us       0.000us         0.00%       9.830ms       2.614us          3760  
                                         aten::_to_copy         2.07%       9.256ms        13.13%      58.703ms      21.970us       0.000us         0.00%       9.830ms       3.679us          2672  
                                            aten::copy_         4.29%      19.204ms        10.11%      45.220ms      14.202us      10.864ms         5.55%      10.864ms       3.412us          3184  
                                              aten::mul         4.48%      20.025ms         7.07%      31.599ms      12.042us       7.949ms         4.06%       7.949ms       3.029us          2624  
                                              aten::add         4.32%      19.326ms         6.76%      30.219ms      14.641us       4.800ms         2.45%       4.800ms       2.326us          2064  
                                                aten::t         2.05%       9.157ms         4.36%      19.499ms       3.797us       0.000us         0.00%       0.000us       0.000us          5136  
                                              aten::pow         2.37%      10.616ms         3.68%      16.462ms      15.829us       2.543ms         1.30%       2.543ms       2.445us          1040  
                                             aten::mean         2.49%      11.131ms         3.62%      16.207ms      15.583us       5.250ms         2.68%       5.250ms       5.048us          1040  
                                            aten::rsqrt         2.60%      11.646ms         3.59%      16.046ms      15.429us       2.315ms         1.18%       2.315ms       2.226us          1040  
                                    aten::empty_strided         3.43%      15.331ms         3.43%      15.331ms       4.815us       0.000us         0.00%       0.000us       0.000us          3184  
                                            aten::slice         2.61%      11.651ms         3.27%      14.610ms       2.154us       0.000us         0.00%       0.000us       0.000us          6784  
                                        aten::transpose         1.44%       6.462ms         2.32%      10.391ms       2.017us       0.000us         0.00%       0.000us       0.000us          5152  
                                          aten::reshape         0.75%       3.375ms         2.19%       9.811ms       2.100us       0.000us         0.00%       0.000us       0.000us          4672  
                                       aten::as_strided         2.08%       9.324ms         2.08%       9.324ms       0.543us       0.000us         0.00%       0.000us       0.000us         17184  
