=== OP PROFILE: flashsvd / PREFILL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   cudaFuncSetAttribute         0.16%     662.683us        12.50%      50.671ms     114.124us       0.000us         0.00%      16.414ms      36.968us           0 b           0 b           0 b           0 b           444  
                                              aten::pow         0.20%     821.580us         6.06%      24.553ms     377.736us     571.229us         1.11%     598.397us       9.206us           0 b           0 b     520.00 Mb     520.00 Mb            65  
                                              aten::mul         0.67%       2.711ms         3.92%      15.880ms      54.384us       3.964ms         7.68%       4.012ms      13.739us           0 b           0 b       1.60 Gb       1.60 Gb           292  
                                             cudaMalloc         3.73%      15.125ms         3.73%      15.125ms     207.195us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            73  
                                      aten::index_copy_         0.14%     562.010us         3.57%      14.481ms     226.258us       1.046ms         2.03%       1.092ms      17.059us           0 b           0 b           0 b           0 b            64  
                                            aten::rsqrt         0.10%     421.793us         3.52%      14.272ms     219.575us     141.880us         0.27%     148.408us       2.283us           0 b           0 b     130.00 Kb     130.00 Kb            65  
                                              aten::cat         0.37%       1.484ms         3.11%      12.584ms     129.734us       3.249ms         6.29%       3.347ms      34.500us           0 b           0 b       1.00 Gb       1.00 Gb            97  
                                            aten::copy_         0.41%       1.679ms         2.93%      11.857ms      45.255us       3.000ms         5.81%       3.023ms      11.537us           0 b           0 b           0 b           0 b           262  
                                               aten::to         0.05%     203.986us         2.87%      11.634ms      32.139us       0.000us         0.00%       1.321ms       3.648us           0 b           0 b     780.25 Mb           0 b           362  
                                         aten::_to_copy         0.11%     430.182us         2.82%      11.430ms      85.302us       0.000us         0.00%       1.321ms       9.856us           0 b           0 b     780.25 Mb           0 b           134  
                                              aten::add         0.41%       1.679ms         2.77%      11.236ms      58.217us       1.531ms         2.97%       1.560ms       8.082us           0 b           0 b     512.13 Mb     512.13 Mb           193  
                                   cudaGetSymbolAddress         2.31%       9.360ms         2.36%       9.559ms       9.559ms       0.000us         0.00%       5.890us       5.890us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 405.221ms
Self CUDA time total: 51.639ms

=== OP PROFILE: flashsvd / DECODE ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      61.585ms        38.59%      61.585ms      17.183us           0 b           0 b           0 b           0 b          3584  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      24.785ms        15.53%      24.785ms      24.204us           0 b           0 b           0 b           0 b          1024  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      11.240ms         7.04%      11.240ms      21.954us           0 b           0 b           0 b           0 b           512  
      ampere_s16816gemm_bf16_128x64_ldg8_stages_64x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      10.237ms         6.41%      10.237ms      19.995us           0 b           0 b           0 b           0 b           512  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       9.668ms         6.06%       9.668ms      18.882us           0 b           0 b           0 b           0 b           512  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.312ms         3.33%       5.312ms       4.955us           0 b           0 b           0 b           0 b          1072  
                                            aten::copy_        10.97%       9.943ms        45.76%      41.464ms      19.196us       5.262ms         3.30%       5.265ms       2.437us           0 b           0 b           0 b           0 b          2160  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.157ms         2.60%       4.157ms       3.997us           0 b           0 b           0 b           0 b          1040  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.609ms         2.26%       3.609ms       2.350us           0 b           0 b           0 b           0 b          1536  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.517ms         2.20%       3.517ms       2.266us           0 b           0 b           0 b           0 b          1552  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       3.115ms         1.95%       3.115ms       6.084us           0 b           0 b           0 b           0 b           512  
                                               aten::mm         0.41%     368.959us         0.63%     573.699us      35.856us       2.676ms         1.68%       2.676ms     167.258us           0 b           0 b    1000.00 Kb    1000.00 Kb            16  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.635ms         1.65%       2.635ms       2.533us           0 b           0 b           0 b           0 b          1040  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       2.550ms         1.60%       2.550ms     159.363us           0 b           0 b           0 b           0 b            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.276ms         1.43%       2.276ms       2.223us           0 b           0 b           0 b           0 b          1024  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.116ms         1.33%       2.116ms       1.974us           0 b           0 b           0 b           0 b          1072  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.015ms         1.26%       2.015ms       1.938us           0 b           0 b           0 b           0 b          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.011ms         1.26%       2.011ms       1.934us           0 b           0 b           0 b           0 b          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.933ms         1.21%       1.933ms       1.859us           0 b           0 b           0 b           0 b          1040  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.770ms         1.11%       1.770ms       3.458us           0 b           0 b           0 b           0 b           512  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       1.578ms         0.99%       1.578ms       2.988us           0 b           0 b           0 b           0 b           528  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.492ms         0.94%       1.492ms       2.915us           0 b           0 b           0 b           0 b           512  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.366ms         0.86%       1.366ms       2.667us           0 b           0 b           0 b           0 b           512  
                                           aten::argmax         0.23%     212.072us         0.38%     340.048us      21.253us     292.538us         0.18%     292.538us      18.284us           0 b           0 b       8.00 Kb       8.00 Kb            16  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     292.538us         0.18%     292.538us      18.284us           0 b           0 b           0 b           0 b            16  
                                              aten::mul         0.53%     480.093us         0.84%     762.698us      11.917us     157.949us         0.10%     157.949us       2.468us           0 b           0 b     400.00 Kb     400.00 Kb            64  
                                             aten::mean         0.21%     187.843us         0.30%     267.534us      16.721us      84.673us         0.05%      84.673us       5.292us           0 b           0 b       8.00 Kb       8.00 Kb            16  
                                     aten::index_select         0.19%     172.395us         0.50%     449.509us      28.094us      74.848us         0.05%      74.848us       4.678us           0 b           0 b     128.00 Kb           0 b            16  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      74.848us         0.05%      74.848us       4.678us           0 b           0 b           0 b           0 b            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      56.959us         0.04%      56.959us       1.780us           0 b           0 b           0 b           0 b            32  
                                              aten::sin         0.10%      94.034us         0.20%     177.618us      11.101us      52.544us         0.03%      52.544us       3.284us           0 b           0 b       8.00 Kb       8.00 Kb            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      52.544us         0.03%      52.544us       3.284us           0 b           0 b           0 b           0 b            16  
                                              aten::cat         0.21%     191.213us         0.33%     297.971us      18.623us      51.198us         0.03%      51.198us       3.200us           0 b           0 b       8.00 Kb       8.00 Kb            16  
