=== OP PROFILE: static / PREFILL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   cudaFuncSetAttribute         0.16%     653.971us        12.35%      50.118ms     112.879us       0.000us         0.00%      16.455ms      37.061us           0 b           0 b           0 b           0 b           444  
                                            aten::where         0.12%     487.665us         6.81%      27.642ms     431.899us     225.757us         0.42%     548.348us       8.568us           0 b           0 b      33.69 Mb     -16.00 Kb            64  
                                              aten::pow         0.19%     777.927us         6.07%      24.626ms     378.863us     560.124us         1.05%     587.100us       9.032us           0 b           0 b     520.00 Mb     520.00 Mb            65  
                     aten::scaled_dot_product_attention         0.15%     621.204us         4.52%      18.364ms     573.886us       0.000us         0.00%       4.690ms     146.560us           0 b        -512 b     128.00 Mb     -33.86 Mb            32  
                                            aten::rsqrt         0.10%     413.966us         3.54%      14.382ms     221.267us     142.076us         0.27%     148.700us       2.288us           0 b           0 b     130.00 Kb     130.00 Kb            65  
                                      aten::index_copy_         0.13%     540.677us         3.08%      12.520ms     195.626us       1.148ms         2.15%       1.198ms      18.722us           0 b           0 b           0 b           0 b            64  
                                               aten::to         0.05%     215.902us         2.88%      11.697ms      39.251us       0.000us         0.00%       1.290ms       4.328us           0 b           0 b     780.25 Mb           0 b           298  
                                         aten::_to_copy         0.12%     490.943us         2.83%      11.481ms      85.679us       0.000us         0.00%       1.290ms       9.624us           0 b           0 b     780.25 Mb           0 b           134  
                                            aten::copy_         0.32%       1.298ms         2.75%      11.177ms      56.450us       1.950ms         3.65%       1.977ms       9.983us           0 b           0 b           0 b           0 b           198  
                                               aten::le         0.03%     118.920us         2.74%      11.108ms       5.554ms       5.408us         0.01%      43.264us      21.632us           0 b           0 b     539.00 Kb     269.50 Kb             2  
                                   cudaGetSymbolAddress         2.47%      10.013ms         2.52%      10.212ms      10.212ms       0.000us         0.00%       5.952us       5.952us           0 b           0 b           0 b           0 b             1  
