=== OP PROFILE: densekv / PREFILL ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   cudaFuncSetAttribute         0.17%     662.114us        12.69%      50.910ms     114.662us       0.000us         0.00%      16.238ms      36.571us           0 b           0 b           0 b           0 b           444  
                                              aten::pow         0.18%     723.724us         6.07%      24.336ms     374.397us     566.434us         1.09%     593.122us       9.125us           0 b           0 b     520.00 Mb     520.00 Mb            65  
                                              aten::mul         0.66%       2.651ms         3.98%      15.962ms      54.663us       3.967ms         7.60%       4.015ms      13.749us           0 b           0 b       1.60 Gb       1.60 Gb           292  
                                            aten::rsqrt         0.11%     443.338us         3.57%      14.339ms     220.596us     142.046us         0.27%     148.574us       2.286us           0 b           0 b     130.00 Kb     130.00 Kb            65  
                                      aten::index_copy_         0.13%     540.712us         3.11%      12.460ms     194.686us       1.042ms         2.00%       1.088ms      16.999us           0 b           0 b           0 b           0 b            64  
                                            aten::copy_         0.40%       1.608ms         2.96%      11.886ms      45.365us       2.984ms         5.72%       3.007ms      11.477us           0 b           0 b           0 b           0 b           262  
                                               aten::to         0.05%     187.910us         2.91%      11.682ms      39.202us       0.000us         0.00%       1.300ms       4.363us           0 b           0 b     780.25 Mb           0 b           298  
                                         aten::_to_copy         0.11%     447.483us         2.87%      11.494ms      85.778us       0.000us         0.00%       1.300ms       9.703us           0 b           0 b     780.25 Mb           0 b           134  
                                              aten::add         0.41%       1.626ms         2.81%      11.259ms      58.336us       1.538ms         2.95%       1.567ms       8.120us           0 b           0 b     512.13 Mb     512.13 Mb           193  
                                   cudaGetSymbolAddress         2.50%      10.016ms         2.55%      10.219ms      10.219ms       0.000us         0.00%       5.952us       5.952us           0 b           0 b           0 b           0 b             1  
                                              aten::neg         0.14%     552.773us         2.35%       9.424ms     147.244us     502.140us         0.96%     525.753us       8.215us           0 b           0 b     128.00 Mb     128.00 Mb            64  
                                  Lazy Function Loading         2.26%       9.071ms         2.26%       9.071ms      20.663us      16.226ms        31.10%      16.226ms      36.962us           0 b           0 b           0 b           0 b           439  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 401.124ms
Self CUDA time total: 52.168ms

=== OP PROFILE: densekv / DECODE ===
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm        18.28%     102.392ms        26.36%     147.658ms      20.554us     127.130ms        56.91%     127.130ms      17.696us           0 b           0 b      50.98 Mb      50.98 Mb          7184  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      65.393ms        29.27%      65.393ms      18.246us           0 b           0 b           0 b           0 b          3584  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      59.066ms        26.44%      59.066ms      16.480us           0 b           0 b           0 b           0 b          3584  
                                              aten::mul         7.92%      44.356ms        13.23%      74.091ms      11.025us      26.317ms        11.78%      26.317ms       3.916us           0 b           0 b      51.14 Mb      51.14 Mb          6720  
                                            aten::copy_         3.29%      18.457ms         7.15%      40.069ms      12.584us      23.412ms        10.48%      23.414ms       7.353us           0 b           0 b           0 b           0 b          3184  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      18.096ms         8.10%      18.096ms       4.418us           0 b           0 b           0 b           0 b          4096  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      14.913ms         6.68%      14.913ms      14.564us           0 b           0 b           0 b           0 b          1024  
